codigo;descripcion;campo;;
F380;Otros trastornos del humor [afectivos]; aislados;;
F381;Otros trastornos del humor [afectivos]; recurrentes;;
F388;Otros trastornos del humor [afectivos]; especificados;;
F39;Trastorno del humor [ afectivos ]; no especificado;;
F40;Trastornos fobicos de ansiedad;;;
F400;Agorafobia;;;
F401;Fobias sociales;;;
F402;Fobias especificadas [aisladas];;;
F408;Otros trastornos fobicos de ansiedad;;;
F409;Trastorno fobico de ansiedad; no especificado;;
F41;Otros trastornos de ansiedad;;;
F410;Trastorno de panico [ansiedad paroxistica episodica];;;
F411;Trastorno de ansiedad generalizada;;;
F412;Trastorno mixto de ansiedad y depresion;;;
F413;Otros trastornos de ansiedad mixtos;;;
F418;Otros trastornos de ansiedad especificados;;;
F419;Trastorno de ansiedad ; no especificado;;
F42;Trastorno obsesivo;;;
F420;Predominio de pensamientos o rumiaciones obsesivas;;;
F421;Predominio de actos compulsivos [rituales obsesivos];;;
F422;Actos e ideas obsesivas mixtos;;;
F428;Otros trastornos obsesivo;;;
F429;Trastorno obsesivo;;;
F43;Reaccion al estres grave y trastornos de adaptacion;;;
F430;Reaccion al estres agudo;;;
F431;Trastorno de estres postraumatico;;;
F432;Trastornos de adaptacion;;;
F438;Otras reacciones al estres grave;;;
F439;Reaccion al estres grave; no especificada;;
F44;Trastornos disociativos [ de conversion ];;;
F440;Amnesia disociativa;;;
F441;Fuga disociativa;;;
F442;Estupor disociativo;;;
F443;Trastornos de trance y de posesion;;;
F444;Trastornos disociativos del movimiento;;;
F445;Convulsiones disociativas;;;
F446;Anestesia disociativa y perdida sensorial;;;
F447;Trastornos disociativos mixtos [y de conversion];;;
F448;Otros trastornos disociativos [de conversion];;;
F449;Trastorno disociativo [de conversion]; no especificado;;
F45;Trastornos somatomorfos;;;
F450;Trastorno de somatizacion;;;
F451;Trastorno somatomorfo indiferenciado;;;
F452;Trastorno hipocondriaco;;;
F453;Disfuncion autonomica somatomorfa;;;
F454;Trastorno de dolor persistente somatomorfo;;;
F458;Otros trastornos somatomorfos;;;
F459;Trastorno somatomorfo; no especificado;;
F48;Otros trastornos neuroticos;;;
F480;Neurastenia;;;
F481;Sindrome de despersonalizacion y desvinculacion de la realidad;;;
F488;Otros trastornos neuroticos especificados;;;
F489;Trastorno neurotico; no especificado;;
F50;Trastornos de la ingestion de alimentos;;;
F500;Anorexia nerviosa;;;
F501;Anorexia nerviosa atipica;;;
F502;Bulimia nerviosa;;;
F503;Bulimia nerviosa atipica;;;
F504;Hiperfagia asociada con otras alteraciones psicologicas;;;
F505;Vomitos asociados con otras alteraciones psicologicas;;;
F508;Otros trastornos de la ingestion de alimentos;;;
F509;Trastorno de la ingestion de alimentos; no especificado;;
F51;Trastornos no organicos del sueno;;;
F510;Insomnio no organico;;;
F511;Hipersomnio no organico;;;
F512;Trastorno no organico del ciclo sueño;;;
F513;Sonambulismo;;;
F514;Terrores del sueño [terrores nocturnos];;;
F515;Pesadillas;;;
F518;Otros trastornos no organicos del sueño;;;
F519;Trastorno no organico del sueño; no especificado;;
F52;Disfuncion sexual no ocasionada por trastornos ni enfermedades organicos;;;
F520;Falta o perdida del deseo sexual;;;
F521;Aversion al sexo y falta de goce sexual;;;
F522;Falla de la respuesta genital;;;
F523;Disfuncion orgasmica;;;
F524;Eyaculacion precoz;;;
F525;Vaginismo no organico;;;
F526;Dispareunia no organica;;;
F527;Impulso sexual excesivo;;;
F528;Otras disfunciones sexuales; no ocasionadas por trastorno ni por enfermedad organicos;;
F529;Disfuncion sexual; no ocasionada por trastorno ni por enfermedad organicos; no especificada;
F53;Trastornos mentales y del comportamiento asociados alpuerperio no clasificadas en otra parte;;;
F530;Trastornos mentales y del comportamiento leves; asociados con el puerperio; no clasificados en otra parte;
F531;Trastornos mentales y del comportamiento graves; asociados con el puerperio; no clasificados en otra parte;
F538;Trastornos mentales y del comportamiento asociados con el puerperio; no clasificados en otra parte;;
F539;Trastorno mental puerperal; no especificado;;
F54;Factores psicologicos y del comportamiento asociados a enfermedades clasificados en otra parte;;;
F55;Abuso de sustancias que no producen dependencia;;;
F59;Sindrome del comportamiento asociados con alteraciones fisiologicas y factores fisicos no especificados;;;
F60;Trastornos especificos de la personalidad;;;
F600;Trastorno paranoide de la personalidad;;;
F601;Trastorno esquizoide de la personalidad;;;
F602;Trastorno asocial de la personalidad;;;
F603;Trastorno de la personalidad emocionalmente inestable;;;
F604;Trastorno histrionico de la personalidad;;;
F605;Trastorno anancastico de la personalidad;;;
F606;Trastorno de la personalidad ansiosa (evasiva; elusiva);;
F607;Trastorno de la personalidad dependiente;;;
F608;Otros trastornos especificos de la personalidad;;;
F609;Trastorno de la personalidad; no especificado;;
F61;Trastornos mixtos y otros trastornos de la personalidad;;;
F62;Cambios perdurables de la personalid no atribuibles a lesion o a enfermedad cerebral;;;
F620;Cambio perdurable de la personalidad despues de una experiencia catastrofica;;;
F621;Cambio perdurable de la personalidad consecutivo a una enfermedad psiquiatrica;;;
F628;Otros cambios perdurables de la personalidad;;;
F629;Cambio perdurable de la personalidad; no especificado;;
