codigo,descripcion,campo
A00,Colera
C781,Tumor maligno secundario del mediastino
C782,Tumor maligno secundario de la pleura
C783,Tumor maligno secundario de otros organos respiratorios y de los no especificados
C784,Tumor maligno secundario del intestino delgado
C785,Tumor maligno secundario del intestino grueso y del recto
C786,Tumor maligno secundario del peritoneo y del retroperitoneo
C787,Tumor maligno secundario del higado
C788,Tumor maligno secundario de otros organos digestivos y de los no especificados
C79,Tumor maligno secundario de otros sitios
C790,Tumor maligno secundario del riñon y de la pelvis renal
C791,Tumor maligno secundario de la vejiga, y de otros organos y los no especificados de las vias urinarias
C792,Tumor maligno secundario de la piel
C793,Tumor maligno secundario del encefalo y de las meninges cerebrales
C794,Tumor maligno secundario de otras partes del sistema nervioso y de las no especificadas
C795,Tumor maligno secundario de los huesos y de la medula osea
C796,Tumor maligno secundario del ovario
C797,Tumor maligno secundario de la glandula suprarrenal
C798,Tumor maligno secundario de otros sitios especificados
C80,Tumor maligno de sitios no especificados
C81,Enfermedad de hodgkin
C810,Enfermedad de hodgkin con predominio linfocitico
C811,Enfermedad de hodgkin con esclerosis nodular
C812,Enfermedad de hodgkin con celularidad mixta
C813,Enfermedad de hodgkin con deplecion linfocitica
C817,Otros tipos de enfermedad de hodgkin
C819,Enfermedad de hodgkin, no especificada
C82,Linfoma no hodgkin folicular [ nodular ]
C820,Linfoma no hodgkin de celulas pequeñas hendidas, folicular
C821,Linfoma no hodgkin mixto, de pequeñas celulas hendidas y de grandes celulas, folicular
C822,Linfoma no hodgkin de celulas grandes, folicular
C827,Otros tipos especificados de linfoma no hodgkin folicular
C829,Linfoma no hodgkin folicular, sin otra especificacion
C83,Linfoma no
C830,Linfoma no hodgkin de celulas pequeñas (difuso)
C831,Linfoma no hodgkin de celulas pequeñas hendidas (difuso)
C832,Linfoma no hodgkin mixto, de celulas pequeñas y grandes (difuso)
C833,Linfoma no hodgkin de celulas grandes (difuso)
C834,Linfoma no hodgkin inmunoblastico (difuso)
C835,Linfoma no hodgkin linfoblastico (difuso)
C836,Linfoma no hodgkin indiferenciado (difuso)
C837,Tumor de burkitt
C838,Otros tipos especificados de linfoma no hodgkin difuso
C839,Linfoma no hodgkin difuso, sin otra especificacion
C84,Linfoma celulas t, periferico y cutaneo
C840,Micosis fungoide
C841,Enfermedad de sezary
C842,Linfoma de zona t
C843,Linfoma linfoepitelioide
C844,Linfoma de celulas t periferico
C845,Otros linfomas de celulas y los no especificados
C85,Linfoma no hodgkin de otro tipo y el no especificado
C850,Linfosarcoma
C851,Linfoma de celulas b, sin otra especificacion
C857,Otros tipos especificados de linfoma no hodgkin
C859,Linfoma no hodgkin, no especificado
C88,Enfermedades inmunoproliferativas malignas
C880,Macroglobulinemia de waldenstrom
C881,Enfermedad de cadena pesada alfa
C882,Enfermedad de cadena pesada gamma
C883,Enfermedad inmunoproliferativa del intestino delgado
C887,Otras enfermedades inmunoproliferativas malignas
C889,Enfermedad inmunoproliferativa maligna, sin otra especificacion
C90,Mieloma multiples y tumores malignos de celulas plasmaticas
C900,Mieloma multiple
C901,Leucemia de celulas plasmaticas
C902,Plasmocitoma, extramedular
C91,Leucemia linfoide
C910,Leucemia linfoblastica aguda
C911,Leucemia linfocitica cronica
C912,Leucemia linfocitica subaguda
C913,Leucemia prolinfocitica
C914,Leucemia de celulas vellosas
C915,Leucemia de celulas t adultas
C917,Otras leucemias linfoides
C919,Leucemia linfoide, sin otra especificacion
C92,Leucemia mieloide
C920,Leucemia mieloide aguda
C921,Leucemia mieloide cronica
C922,Leucemia mieloide subaguda
C923,Sarcoma mieloide
C924,Leucemia promielocitica aguda
C925,Leucemia mielomonocitica aguda
C927,Otras leucemias mieloides
C929,Leucemia mieloide, sin otra especificacion
C93,Leucemia monocitica
C930,Leucemia monocitica aguda
C931,Leucemia monocitica cronica
C932,Leucemia monocitica subaguda
C937,Otras leucemias monociticas
C939,Leucemia monocitica, sin otra especificacion
C94,Otras leucemias de tipo celular especificado
C940,Eritremia aguda y eritroleucemia
C941,Eritremia cronica
C942,Leucemia megacarioblastica aguda
C943,Leucemia de mastocitos
C944,Panmielosis aguda
C945,Mielofibrosis aguda
C947,Otras leucemias especificadas
C95,Leucemia de celulas de tipo no especificado
C950,Leucemia aguda, celulas de tipo no especificado
C951,Leucemia cronica, celulas de tipo no especificado
C952,Leucemia subaguda, celulas de tipo no especificado
C957,Otras leucemias de celulas de tipo no especificado
C959,Leucemia, no especificada
C96,Otros tumores malignos y los no especificados del tejido linfatico, de los organos hematopoyeticos y de tejidos afines
C960,Enfermedad de letterer
C961,Histiocitosis maligna
C962,Tumor maligno de mastocitos
C963,Linfoma histiocitico verdadero
C967,Otros tumores malignos especificados del tejido linfatico, hematopoyetico y tejidos afines
C969,Tumor maligno del tejido linfatico, hematopoyetico y tejidos afines, sin otra especificacion
C97,Tumores malignos ( primarios ) de sitios multiples independientes
D00,Carcinoma in situ de la cavidad bucal, del esofago y del estomago
D000,Carcinoma in situ del labio, de la cavidad bucal y de la faringe
D001,Carcinoma in situ del esofago
D002,Carcinoma in situ del estomago
D01,Carcinoma in situ de otros organos digestivos y de los no especificados
D010,Carcinoma in situ del colon
D011,Carcinoma in situ de la union rectosigmoidea
D012,Carcinoma in situ del recto
D013,Carcinoma in situ del ano y del conducto anal
D014,Carcinoma in situ de otras partes y de las no especificadas del intestino
D015,Carcinoma in situ del higado, de la vesicula biliar y del conducto biliar
D017,Carcinoma in situ de otras partes especificadas de organos digestivos
D019,Carcinoma in situ de organos digestivos no especificados
D02,Carcinoma in situ del sistema respiratorio y del oido medio
D020,Carcinoma in situ de la laringe
D021,Carcinoma in situ de la traquea
D022,Carcinoma in situ del bronquio y del pulmon
D023,Carcinoma in situ de otras partes del sistema respiratorio
D024,Carcinoma in situ de organos respiratorios no especificados
D03,Melanoma in situ
D030,Melanoma in situ del labio
D031,Melanoma in situ del parpado y de la comisura palpebral
D032,Melanoma in situ de la oreja y del conducto auditivo externo
D033,Melanoma in situ de otras partes y de las no especificadas de la cara
D034,Melanoma in situ del cuero cabelludo y del cuello
D035,Melanoma in situ del tronco
D036,Melanoma in situ del miembro superior, incluido el hombro
D037,Melanoma in situ del miembro inferior, incluida la cadera
D038,Melanoma in situ de otros sitios
D039,Melanoma in situ, sitio no especificado
D04,Carcinoma in situ de la piel
D040,Carcinoma in situ de la piel del labio
D041,Carcinoma in situ de la piel del parpado y de la comisura palpebral
D042,Carcinoma in situ de la piel de la oreja y del conducto auditivo externo
D043,Carcinoma in situ de la piel de otras partes y de las no especificadas de la cara
D044,Carcinoma in situ de la piel del cuero cabelludo y cuello
D045,Carcinoma in situ de la piel del tronco
D046,Carcinoma in situ de la piel del miembro superior, incluido el hombro
D047,Carcinoma in situ de la piel del miembro inferior, incluida la cadera
D048,Carcinoma in situ de la piel de otros sitios especificados
D049,Carcinoma in situ de la piel, sitio no especificado
D05,Carcinoma in situ de la mama
D050,Carcinoma in situ lobular
D051,Carcinoma in situ intracanalicular
D057,Otros carcinomas in situ de la mama
D059,Carcinoma in situ de la mama, parte no especificada
D06,Carcinoma in situ del cuello del utero
D060,Carcinoma in situ del endocervix
D061,Carcinoma in situ del exocervix
D067,Carcinoma in situ de otras partes especificadas del cuello del utero
D069,Carcinoma in situ del cuello del utero, parte no especificada
D07,Carcinoma in situ de otros organos genitales y de los no especificados
D070,Carcinoma in situ del endometrio
D071,Carcinoma in situ de la vulva
D072,Carcinoma in situ de la vagina
D073,Carcinoma in situ de otros sitios de organos genitales femeninos y de los no especificados
D074,Carcinoma in situ del pene
D075,Carcinoma in situ de la prostata
D076,Carcinoma in situ de otros organos genitales masculinos y de los no especificados
D09,Carcinoma in situ de otros sitios y de los no especificados
D090,Carcinoma in situ de la vejiga
D091,Carcinoma in situ de otros organos urinarios y de los no especificados
D092,Carcinoma in situ del ojo
D093,Carcinoma in situ de la glandula tiroides y de otras glandulas endocrinas
D097,Carcinoma in situ de otros sitios especificados
D099,Carcinoma in situ, sitio no especificado
D10,Tumor benigno de la boca y de la faringe
D100,Tumor benigno del labio
D101,Tumor benigno de la lengua
D102,Tumor benigno del piso de la boca
D103,Tumor benigno de otras partes y de las no especificadas de la boca
D104,Tumor benigno de la amigdala
D105,Tumor benigno de otras partes de la orofaringe
D106,Tumor benigno de la nasofaringe
D107,Tumor benigno de la hipofaringe
D109,Tumor benigno de la faringe, parte no especificada
D11,Tumor benigno de las glandulas salivares mayores
D110,Tumor benigno de la glandula parotida
D117,Tumor benigno de otras glandulas salivales mayores especificadas
D119,Tumor benigno de la glandula salival mayor, sin otra especificacion
D12,Tumor benigno del colon, del recto, del conducto anal y del ano
D120,Tumor benigno del ciego
D121,Tumor benigno del apendice
D122,Tumor benigno del colon ascendente
D123,Tumor benigno del colon transverso
D124,Tumor benigno del colon descendente
D125,Tumor benigno del colon sigmoide
D126,Tumor benigno del colon, parte no especificada
D127,Tumor benigno de la union rectosigmoidea
D128,Tumor benigno del recto
D129,Tumor benigno del conducto anal y del ano
D13,Tumor benigno de otras partes y de las mal definidas del sistema digestivo
D130,Tumor benigno del esofago
D131,Tumor benigno del estomago
D132,Tumor benigno del duodeno
D133,Tumor benigno de otras partes y de las no especificadas del intestino delgado
D134,Tumor benigno del higado
D135,Tumor benigno de las vias biliares extrahepaticas
D136,Tumor benigno del pancreas
D137,Tumor benigno del pancreas endocrino
D139,Tumor benigno de sitios mal definidos del sistema digestivo
D14,Tumor benigno del oido medio y del sistema respiratorio
D140,Tumor benigno del oido medio, de la cavidad nasal y de los senos paranasales
D141,Tumor benigno de la laringe
D142,Tumor benigno de la traquea
D143,Tumor benigno de los bronquios y del pulmon
D144,Tumor benigno del sistema respiratorio, sitio no especificado
D15,Tumor benigno de otros organos intratoracicos y de los no especificados
D150,Tumor benigno del timo
D151,Tumor benigno del corazon
D152,Tumor benigno del mediastino
D157,Tumor benigno de otros organos intratoracicos especificados
D159,Tumor benigno de organo intratoracico no especificado
D16,Tumor benigno del hueso y del cartilago articular
D160,Tumor benigno del omoplato y huesos largos del miembro superior
D161,Tumor benigno de los huesos cortos del miembro superior
D162,Tumor benigno de los huesos largos del miembro inferior
D163,Tumor benigno de los huesos cortos del miembro inferior
D164,Tumor benigno de los huesos del craneo y de la cara
D165,Tumor benigno del maxilar inferior
D166,Tumor benigno de la columna vertebral
D167,Tumor benigno de las costillas, esternon y clavicula
D168,Tumor benigno de los huesos pelvicos, sacro y coccix
D169,Tumor benigno del huesos y del cartilago articular, sitio no especificado
D17,Tumores benignos lipomatosos
D170,Tumor benigno lipomatoso de piel y de tejido subcutaneo de cabeza, cara y cuello
D171,Tumor benigno lipomatoso de piel y de tejido subcutaneo del tronco
D172,Tumor benigno lipomatoso de piel y de tejido subcutaneo de miembros
D173,Tumor benigno lipomatoso de piel y de tejido subcutaneo de otros sitios y de los no especificados
D174,Tumor benigno lipomatoso de los organos intratoracicos
D175,Tumor benigno lipomatoso de los organos intraabdominales
D176,Tumor benigno lipomatoso del cordon espermatico
D177,Tumor benigno lipomatoso de otros sitios especificados
D179,Tumor benigno lipomatoso, de sitio no especificado
D18,Hemangioma y linfangioma de cualquier sitio
D180,Hemangioma, de cualquier sitio
D181,Linfangioma, de cualquier sitio
D19,Tumor benigno del tejido mesotelial
D190,Tumor benigno del tejido mesotelial de la pleura
D191,Tumor benigno del tejido mesotelial del peritoneo
D197,Tumor benigno del tejido mesotelial de otros sitios especificados
D199,Tumor benigno del tejido mesotelial, de sitio no especificado
D20,Tumor benigno del tejido blando del peritoneo y del retroperitoneo
D200,Tumor benigno del retroperitoneo
D201,Tumor benigno del peritoneo
D21,Otros tumores benignos del tejido conjuntivo y tejido blando
D210,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos de cabeza, cara y cuello
D211,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del miembro superior, incluido el hombro
D212,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del miembro inferior, incluido la cadera
D213,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del torax
D214,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del abdomen
D215,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos de la pelvis
D216,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del tronco, sin otra especificacion
D219,Tumor benigno del tejido cunjuntivo y de otros tejidos blandos, de sitio no especificado
D22,Nevo melanocitico
D220,Nevo melanocitico del labio
D221,Nevo melanocitico del parpado, incluida la comisura palpebral
D222,Nevo melanocitico de la oreja y del conducto auditivo externo
D223,Nevo melanocitico de otras partes de las no especificadas de la cara
D224,Nevo melanocitico del cuero cabelludo y del cuello
D225,Nevo melanocitico del tronco
D226,Nevo melanocitico del miembro superior, incluido el hombro
D227,Nevo melanocitico del miembro inferior, incluida la cadera
D229,Nevo melanocitico, sitio no especificado
D23,Otros tumores benignos de la piel
D230,Tumor benigno de la piel del labio
D231,Tumor benigno de la piel del parpado, incluida la comisura palpebral
D232,Tumor benigno de la piel de la oreja y del conducto auditivo externo
D233,Tumor benigno de la piel de otras partes y de las no especificadas de la cara
D234,Tumor benigno de la piel del cuero cabelludo y del cuello
D235,Tumor benigno de la piel del tronco
D236,Tumor benigno de la piel del miembro superior, incluido el hombro
D237,Tumor benigno de la piel del miembro inferior, incluida la cadera
D239,Tumor benigno de la piel, sitio no especificado
D24,Tumor benigno de la mama
D25,Leiomioma del utero
