codigo,descripcion,campo
R465,Suspicacia y evasividad marcadas
T199,Cuerpo extraño en las vias genitourinarias, parte no especificada
T20,Quemadura y corrosion de la cabeza y cuello
T200,Quemadura de la cabeza y del cuello, grado no especificado
T201,Quemadura de la cabeza y del cuello, de primer grado
T202,Quemadura de la cabeza y del cuello, de segundo grado
T203,Quemadura de la cabeza y del cuello, de tercer grado
T204,Corrosion de la cabeza y del cuello, grado no especificado
T205,Corrosion de la cabeza y del cuello, de primer grado
T206,Corrosion de la cabeza y del cuello, de segundo grado
T207,Corrosion de la cabeza y del cuello, de tercer grado
T21,Quemadura y corrosion del tronco
T210,Quemadura del tronco, grado no especificado
T211,Quemadura del tronco, de primer grado
T212,Quemadura del tronco, de segundo grado
T213,Quemadura del tronco, de tercer grado
T214,Corrosion del tronco, grado no especificado
T215,Corrosion del tronco, de primer grado
T216,Corrosion del tronco, de segundo grado
T217,Corrosion del tronco, de tercer grado
T22,Quemadura y corrosion del hombro y del miembro superior, excepto de la muñeca y de la mano
T220,Quemadura del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano
T221,Quemadura del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano
T222,Quemadura del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano
T223,Quemadura del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano
T224,Corrosion del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano
T225,Corrosion del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano
T226,Corrosion del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano
T227,Corrosion del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano
T23,Quemadura y corrosion de la muneca y de la mano
T230,Quemadura de la muñeca y de la mano, grado no especificado
T231,Quemadura de la muñeca y de la mano, de primer grado
T232,Quemadura de la muñeca y de la mano, de segundo grado
T233,Quemadura de la muñeca y de la mano, de tercer grado
T234,Corrosion de la muñeca y de la mano, grado no especificado
T235,Corrosion de la muñeca y de la mano, de primer grado
